Aspirant ID,Preferred Subjects,Target Colleges,Current Preparation Level,Learning Style,Location,Past Mock Test Scores,Time Commitment,Essay/Personal Statement,Subject-wise Strengths and Weaknesses
1,"['General Knowledge', 'Legal Reasoning']","['NLSIU Bangalore', 'GNLU Gandhinagar']",Intermediate,Visual,Delhi,"[78, 61, 126, 122, 125]",28,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Strong', 'Quantitative Techniques': 'Weak'}"
2,['Quantitative Techniques'],['NALSAR Hyderabad'],Intermediate,Kinesthetic,Kolkata,"[96, 73, 82]",20,Looking to improve my General Knowledge skills,"{'English Comprehension': 'Weak', 'General Knowledge': 'Weak'}"
3,"['General Knowledge', 'English Comprehension']",['NLSIU Bangalore'],Advanced,Visual,Bangalore,"[106, 70, 90, 106]",17,Looking to improve my English Comprehension skills,"{'English Comprehension': 'Weak', 'General Knowledge': 'Strong', 'Quantitative Techniques': 'Weak'}"
4,['English Comprehension'],"['NUJS Kolkata', 'NALSAR Hyderabad']",Beginner,Reading/Writing,Kolkata,"[101, 80, 130, 140, 75, 139]",16,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Strong', 'Logical Reasoning': 'Average', 'Quantitative Techniques': 'Weak'}"
5,"['General Knowledge', 'Legal Reasoning', 'Logical Reasoning']","['NLIU Bhopal', 'NALSAR Hyderabad']",Intermediate,Reading/Writing,Delhi,"[60, 60, 92, 126]",26,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Weak'}"
6,"['General Knowledge', 'Legal Reasoning', 'General Knowledge']",['NUJS Kolkata'],Advanced,Reading/Writing,Mumbai,"[73, 99, 118, 58, 147]",24,Looking to improve my Legal Reasoning skills,"{'General Knowledge': 'Weak', 'English Comprehension': 'Strong'}"
7,"['English Comprehension', 'Quantitative Techniques']",['NUJS Kolkata'],Beginner,Auditory,Chennai,"[98, 122, 73, 72]",29,Looking to improve my Logical Reasoning skills,"{'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Strong'}"
8,['English Comprehension'],['NUJS Kolkata'],Beginner,Kinesthetic,Mumbai,"[97, 118, 103, 94, 128]",17,Looking to improve my Quantitative Techniques skills,"{'Legal Reasoning': 'Strong', 'General Knowledge': 'Average', 'Logical Reasoning': 'Strong'}"
9,"['General Knowledge', 'English Comprehension', 'Quantitative Techniques']",['NLSIU Bangalore'],Advanced,Auditory,Chennai,"[123, 98, 144, 93]",11,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Strong', 'General Knowledge': 'Weak', 'Quantitative Techniques': 'Weak'}"
10,"['Logical Reasoning', 'Quantitative Techniques']","['NALSAR Hyderabad', 'NLSIU Bangalore']",Advanced,Kinesthetic,Delhi,"[150, 62, 52]",30,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Weak'}"
11,"['English Comprehension', 'English Comprehension', 'English Comprehension']","['NALSAR Hyderabad', 'NALSAR Hyderabad']",Beginner,Kinesthetic,Bangalore,"[125, 132, 120, 112]",29,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Weak', 'General Knowledge': 'Average', 'Logical Reasoning': 'Strong'}"
12,"['Logical Reasoning', 'Legal Reasoning']","['NLSIU Bangalore', 'NLSIU Bangalore']",Beginner,Reading/Writing,Delhi,"[117, 81, 116, 78, 63, 132]",29,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Strong', 'Legal Reasoning': 'Weak'}"
13,"['Quantitative Techniques', 'Legal Reasoning', 'General Knowledge']","['GNLU Gandhinagar', 'NALSAR Hyderabad']",Intermediate,Reading/Writing,Delhi,"[143, 51, 70, 52, 105]",30,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Weak', 'Quantitative Techniques': 'Strong'}"
14,"['Legal Reasoning', 'Quantitative Techniques']",['NUJS Kolkata'],Beginner,Auditory,Delhi,"[68, 72, 131, 89, 134, 79]",14,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Average'}"
15,"['Logical Reasoning', 'General Knowledge', 'Quantitative Techniques']",['NALSAR Hyderabad'],Advanced,Visual,Kolkata,"[84, 147, 135, 53, 103, 88]",26,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Weak', 'Quantitative Techniques': 'Strong', 'Legal Reasoning': 'Average'}"
16,"['Quantitative Techniques', 'General Knowledge']","['NLIU Bhopal', 'NLSIU Bangalore']",Advanced,Kinesthetic,Delhi,"[98, 93, 104]",19,Looking to improve my General Knowledge skills,"{'Quantitative Techniques': 'Weak', 'English Comprehension': 'Strong', 'Logical Reasoning': 'Weak', 'General Knowledge': 'Weak'}"
17,"['Logical Reasoning', 'General Knowledge']",['NLSIU Bangalore'],Intermediate,Visual,Chennai,"[116, 112, 57]",21,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Average', 'Legal Reasoning': 'Strong'}"
18,"['English Comprehension', 'Logical Reasoning', 'Legal Reasoning']","['NUJS Kolkata', 'NLSIU Bangalore']",Beginner,Reading/Writing,Mumbai,"[113, 90, 132, 97, 96, 62]",27,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Weak', 'English Comprehension': 'Weak', 'Quantitative Techniques': 'Strong'}"
19,"['General Knowledge', 'Logical Reasoning']",['GNLU Gandhinagar'],Intermediate,Kinesthetic,Bangalore,"[101, 98, 76, 139]",14,Looking to improve my Logical Reasoning skills,{'English Comprehension': 'Strong'}
20,['Quantitative Techniques'],['NLIU Bhopal'],Advanced,Kinesthetic,Bangalore,"[124, 72, 132]",10,Looking to improve my Legal Reasoning skills,{'General Knowledge': 'Weak'}
21,['General Knowledge'],"['GNLU Gandhinagar', 'NLSIU Bangalore']",Intermediate,Kinesthetic,Delhi,"[141, 144, 95, 51, 63, 64]",23,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Strong', 'Quantitative Techniques': 'Weak'}"
22,"['Quantitative Techniques', 'English Comprehension', 'General Knowledge']","['NLIU Bhopal', 'NLIU Bhopal']",Advanced,Kinesthetic,Delhi,"[60, 141, 61, 68, 136]",16,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Average', 'Legal Reasoning': 'Weak'}"
23,"['Quantitative Techniques', 'Logical Reasoning', 'General Knowledge']","['NUJS Kolkata', 'NLSIU Bangalore']",Intermediate,Visual,Kolkata,"[97, 99, 122, 121, 56]",15,Looking to improve my English Comprehension skills,"{'General Knowledge': 'Average', 'Legal Reasoning': 'Average'}"
24,['Legal Reasoning'],['NLSIU Bangalore'],Intermediate,Auditory,Delhi,"[72, 69, 69]",12,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Strong', 'English Comprehension': 'Average'}"
25,['Quantitative Techniques'],['NLSIU Bangalore'],Advanced,Auditory,Mumbai,"[147, 142, 77, 68]",10,Looking to improve my General Knowledge skills,"{'Quantitative Techniques': 'Average', 'Logical Reasoning': 'Weak'}"
26,"['Legal Reasoning', 'Legal Reasoning', 'General Knowledge']",['NUJS Kolkata'],Beginner,Kinesthetic,Kolkata,"[143, 76, 120, 58]",25,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Strong', 'English Comprehension': 'Strong', 'Logical Reasoning': 'Strong'}"
27,['General Knowledge'],['NUJS Kolkata'],Intermediate,Auditory,Delhi,"[119, 90, 58, 51, 127]",26,Looking to improve my English Comprehension skills,"{'Quantitative Techniques': 'Weak', 'General Knowledge': 'Strong'}"
28,"['General Knowledge', 'Legal Reasoning', 'Logical Reasoning']",['GNLU Gandhinagar'],Advanced,Auditory,Chennai,"[99, 80, 105]",29,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Average', 'General Knowledge': 'Weak'}"
29,"['Quantitative Techniques', 'English Comprehension']","['GNLU Gandhinagar', 'GNLU Gandhinagar']",Beginner,Reading/Writing,Delhi,"[102, 58, 60]",23,Looking to improve my Legal Reasoning skills,"{'General Knowledge': 'Average', 'English Comprehension': 'Strong', 'Legal Reasoning': 'Weak'}"
30,"['Logical Reasoning', 'Legal Reasoning', 'English Comprehension']","['NLSIU Bangalore', 'NALSAR Hyderabad']",Intermediate,Auditory,Bangalore,"[121, 51, 76]",11,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Average', 'General Knowledge': 'Strong'}"
31,"['Logical Reasoning', 'Quantitative Techniques', 'English Comprehension']","['NLIU Bhopal', 'NLSIU Bangalore']",Advanced,Auditory,Bangalore,"[102, 144, 85, 89, 108, 112]",12,Looking to improve my English Comprehension skills,"{'Quantitative Techniques': 'Average', 'Legal Reasoning': 'Weak', 'General Knowledge': 'Average'}"
32,"['Legal Reasoning', 'Quantitative Techniques', 'English Comprehension']",['NLSIU Bangalore'],Advanced,Kinesthetic,Delhi,"[93, 109, 124]",24,Looking to improve my English Comprehension skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Strong'}"
33,"['Legal Reasoning', 'General Knowledge']",['NLSIU Bangalore'],Advanced,Reading/Writing,Chennai,"[136, 119, 68, 56, 65]",16,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Weak', 'Quantitative Techniques': 'Weak'}"
34,"['English Comprehension', 'Quantitative Techniques', 'English Comprehension']","['GNLU Gandhinagar', 'NALSAR Hyderabad']",Advanced,Auditory,Chennai,"[78, 110, 89, 104]",24,Looking to improve my General Knowledge skills,"{'Quantitative Techniques': 'Strong', 'General Knowledge': 'Strong'}"
35,"['Legal Reasoning', 'General Knowledge', 'Legal Reasoning']","['NLSIU Bangalore', 'GNLU Gandhinagar']",Advanced,Auditory,Delhi,"[55, 73, 96, 79]",14,Looking to improve my Quantitative Techniques skills,"{'Logical Reasoning': 'Average', 'General Knowledge': 'Strong', 'Quantitative Techniques': 'Weak'}"
36,"['Logical Reasoning', 'English Comprehension', 'Legal Reasoning']",['GNLU Gandhinagar'],Intermediate,Reading/Writing,Delhi,"[108, 127, 139]",21,Looking to improve my Logical Reasoning skills,"{'Quantitative Techniques': 'Weak', 'English Comprehension': 'Weak', 'General Knowledge': 'Average'}"
37,['English Comprehension'],['NUJS Kolkata'],Intermediate,Auditory,Mumbai,"[120, 62, 115]",15,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Average', 'Logical Reasoning': 'Strong', 'General Knowledge': 'Strong'}"
38,['Legal Reasoning'],['GNLU Gandhinagar'],Beginner,Auditory,Delhi,"[58, 122, 114, 68, 120]",28,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Strong', 'English Comprehension': 'Average'}"
39,"['Logical Reasoning', 'Legal Reasoning']","['GNLU Gandhinagar', 'NLIU Bhopal']",Intermediate,Auditory,Mumbai,"[95, 62, 123]",15,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Average', 'Legal Reasoning': 'Average'}"
40,"['Legal Reasoning', 'Logical Reasoning']",['GNLU Gandhinagar'],Intermediate,Kinesthetic,Bangalore,"[98, 119, 131, 133]",20,Looking to improve my General Knowledge skills,{'English Comprehension': 'Average'}
41,"['Legal Reasoning', 'Quantitative Techniques']",['NALSAR Hyderabad'],Advanced,Reading/Writing,Mumbai,"[87, 83, 54, 141, 122]",14,Looking to improve my English Comprehension skills,"{'Quantitative Techniques': 'Weak', 'Legal Reasoning': 'Strong'}"
42,"['General Knowledge', 'General Knowledge']","['GNLU Gandhinagar', 'NLSIU Bangalore']",Advanced,Visual,Bangalore,"[85, 102, 114, 101]",12,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Strong', 'General Knowledge': 'Average', 'Legal Reasoning': 'Strong'}"
43,['Legal Reasoning'],['GNLU Gandhinagar'],Intermediate,Visual,Chennai,"[120, 118, 133]",29,Looking to improve my Logical Reasoning skills,"{'Quantitative Techniques': 'Strong', 'General Knowledge': 'Strong', 'Logical Reasoning': 'Strong'}"
44,['English Comprehension'],"['GNLU Gandhinagar', 'NALSAR Hyderabad']",Beginner,Auditory,Kolkata,"[72, 109, 123, 96, 69, 94]",26,Looking to improve my English Comprehension skills,"{'Quantitative Techniques': 'Weak', 'Legal Reasoning': 'Weak'}"
45,"['Quantitative Techniques', 'English Comprehension', 'Quantitative Techniques']","['NALSAR Hyderabad', 'NLIU Bhopal']",Beginner,Kinesthetic,Delhi,"[74, 84, 135, 135, 122, 94]",28,Looking to improve my Legal Reasoning skills,"{'Legal Reasoning': 'Weak', 'English Comprehension': 'Average', 'General Knowledge': 'Strong'}"
46,['Logical Reasoning'],['NALSAR Hyderabad'],Beginner,Visual,Chennai,"[143, 138, 138, 88, 86]",19,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Weak', 'Legal Reasoning': 'Average'}"
47,['Logical Reasoning'],['NLSIU Bangalore'],Beginner,Reading/Writing,Kolkata,"[63, 97, 94]",20,Looking to improve my General Knowledge skills,"{'General Knowledge': 'Strong', 'Quantitative Techniques': 'Strong'}"
48,['Logical Reasoning'],['NUJS Kolkata'],Beginner,Auditory,Bangalore,"[112, 67, 71, 115, 90]",23,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Weak', 'Legal Reasoning': 'Strong'}"
49,"['Quantitative Techniques', 'Legal Reasoning']",['GNLU Gandhinagar'],Intermediate,Visual,Chennai,"[73, 111, 123, 67]",20,Looking to improve my General Knowledge skills,"{'Legal Reasoning': 'Average', 'Quantitative Techniques': 'Average', 'Logical Reasoning': 'Weak'}"
50,"['English Comprehension', 'Legal Reasoning']",['NLSIU Bangalore'],Beginner,Visual,Delhi,"[134, 109, 113, 136, 99]",26,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Average', 'Legal Reasoning': 'Strong'}"
51,['English Comprehension'],"['GNLU Gandhinagar', 'NLIU Bhopal']",Beginner,Kinesthetic,Bangalore,"[112, 67, 149, 86]",17,Looking to improve my General Knowledge skills,"{'English Comprehension': 'Weak', 'Quantitative Techniques': 'Weak'}"
52,"['English Comprehension', 'English Comprehension']",['NLIU Bhopal'],Beginner,Auditory,Mumbai,"[146, 135, 118, 115, 113, 144]",25,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Average', 'General Knowledge': 'Average', 'Legal Reasoning': 'Strong'}"
53,"['Logical Reasoning', 'Legal Reasoning', 'Legal Reasoning']","['GNLU Gandhinagar', 'NLSIU Bangalore']",Beginner,Auditory,Kolkata,"[60, 141, 91, 60]",18,Looking to improve my Logical Reasoning skills,"{'Quantitative Techniques': 'Average', 'Legal Reasoning': 'Strong'}"
54,"['English Comprehension', 'Quantitative Techniques']","['NUJS Kolkata', 'NLIU Bhopal']",Intermediate,Auditory,Chennai,"[94, 84, 59, 82, 135, 80]",15,Looking to improve my Logical Reasoning skills,"{'Quantitative Techniques': 'Weak', 'English Comprehension': 'Strong'}"
55,"['General Knowledge', 'Logical Reasoning', 'Logical Reasoning']","['NALSAR Hyderabad', 'GNLU Gandhinagar']",Advanced,Auditory,Delhi,"[123, 116, 109, 96]",23,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Strong', 'English Comprehension': 'Weak', 'Legal Reasoning': 'Weak'}"
56,"['Legal Reasoning', 'English Comprehension']",['GNLU Gandhinagar'],Intermediate,Kinesthetic,Chennai,"[50, 101, 60, 70]",21,Looking to improve my Legal Reasoning skills,"{'Quantitative Techniques': 'Weak', 'General Knowledge': 'Weak'}"
57,"['Logical Reasoning', 'Quantitative Techniques']",['NLSIU Bangalore'],Beginner,Reading/Writing,Delhi,"[98, 124, 72, 140, 147]",13,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Weak', 'English Comprehension': 'Weak', 'Logical Reasoning': 'Strong'}"
58,"['Logical Reasoning', 'General Knowledge']","['NALSAR Hyderabad', 'NALSAR Hyderabad']",Beginner,Reading/Writing,Kolkata,"[80, 118, 83]",23,Looking to improve my Quantitative Techniques skills,"{'Legal Reasoning': 'Strong', 'Quantitative Techniques': 'Average'}"
59,['Logical Reasoning'],"['NLSIU Bangalore', 'NLIU Bhopal']",Beginner,Visual,Delhi,"[77, 147, 128]",20,Looking to improve my English Comprehension skills,"{'Logical Reasoning': 'Strong', 'Legal Reasoning': 'Strong'}"
60,"['Logical Reasoning', 'Legal Reasoning', 'General Knowledge']",['NLSIU Bangalore'],Advanced,Auditory,Mumbai,"[126, 147, 126, 119, 82, 106]",26,Looking to improve my Legal Reasoning skills,"{'General Knowledge': 'Weak', 'English Comprehension': 'Average', 'Quantitative Techniques': 'Weak'}"
61,['Legal Reasoning'],"['GNLU Gandhinagar', 'NLSIU Bangalore']",Advanced,Visual,Mumbai,"[120, 139, 149, 130, 68, 55]",26,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Average', 'General Knowledge': 'Weak'}"
62,"['Quantitative Techniques', 'Legal Reasoning', 'Legal Reasoning']",['NLSIU Bangalore'],Intermediate,Kinesthetic,Delhi,"[80, 118, 142, 93, 69]",26,Looking to improve my General Knowledge skills,"{'Legal Reasoning': 'Weak', 'Logical Reasoning': 'Strong', 'English Comprehension': 'Average', 'Quantitative Techniques': 'Average'}"
63,['Legal Reasoning'],"['NLIU Bhopal', 'GNLU Gandhinagar']",Beginner,Auditory,Chennai,"[75, 78, 134]",16,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Weak', 'General Knowledge': 'Average'}"
64,['Legal Reasoning'],"['NLSIU Bangalore', 'GNLU Gandhinagar']",Advanced,Reading/Writing,Kolkata,"[89, 55, 61, 139, 51]",19,Looking to improve my Quantitative Techniques skills,"{'General Knowledge': 'Average', 'Legal Reasoning': 'Weak', 'Logical Reasoning': 'Average'}"
65,"['General Knowledge', 'General Knowledge', 'General Knowledge']","['GNLU Gandhinagar', 'NLSIU Bangalore']",Advanced,Kinesthetic,Chennai,"[63, 67, 64, 142, 114, 120]",20,Looking to improve my General Knowledge skills,"{'Legal Reasoning': 'Strong', 'English Comprehension': 'Weak', 'General Knowledge': 'Weak'}"
66,"['Logical Reasoning', 'Logical Reasoning']",['NALSAR Hyderabad'],Beginner,Auditory,Delhi,"[59, 139, 93, 150]",27,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Strong', 'Quantitative Techniques': 'Weak'}"
67,['English Comprehension'],['NALSAR Hyderabad'],Beginner,Reading/Writing,Kolkata,"[50, 85, 55]",19,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Strong', 'General Knowledge': 'Weak'}"
68,"['English Comprehension', 'English Comprehension']","['NUJS Kolkata', 'NUJS Kolkata']",Beginner,Reading/Writing,Kolkata,"[108, 130, 79, 106]",14,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Average', 'Logical Reasoning': 'Weak', 'Legal Reasoning': 'Average'}"
69,"['Legal Reasoning', 'English Comprehension']","['GNLU Gandhinagar', 'NALSAR Hyderabad']",Advanced,Auditory,Kolkata,"[146, 60, 61, 109, 115]",29,Looking to improve my Logical Reasoning skills,"{'General Knowledge': 'Strong', 'Logical Reasoning': 'Strong'}"
70,['General Knowledge'],['GNLU Gandhinagar'],Intermediate,Reading/Writing,Mumbai,"[61, 142, 130, 109, 56, 92]",16,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Weak'}"
71,['Legal Reasoning'],"['NUJS Kolkata', 'GNLU Gandhinagar']",Intermediate,Visual,Chennai,"[132, 57, 82, 89]",28,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Strong', 'English Comprehension': 'Strong'}"
72,"['Legal Reasoning', 'English Comprehension', 'English Comprehension']",['NALSAR Hyderabad'],Beginner,Auditory,Mumbai,"[81, 125, 68, 148, 83]",11,Looking to improve my Logical Reasoning skills,"{'Quantitative Techniques': 'Strong', 'Legal Reasoning': 'Strong'}"
73,"['General Knowledge', 'General Knowledge']","['NALSAR Hyderabad', 'NLSIU Bangalore']",Beginner,Kinesthetic,Mumbai,"[134, 93, 55, 51]",23,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Strong', 'English Comprehension': 'Weak', 'General Knowledge': 'Average'}"
74,['General Knowledge'],"['GNLU Gandhinagar', 'NLSIU Bangalore']",Intermediate,Reading/Writing,Bangalore,"[56, 149, 128, 53, 96, 60]",19,Looking to improve my Logical Reasoning skills,{'General Knowledge': 'Weak'}
75,['General Knowledge'],['NALSAR Hyderabad'],Beginner,Visual,Bangalore,"[75, 149, 142, 65, 96]",16,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Average', 'General Knowledge': 'Strong', 'Legal Reasoning': 'Strong'}"
76,"['General Knowledge', 'English Comprehension', 'Quantitative Techniques']","['NLIU Bhopal', 'NUJS Kolkata']",Intermediate,Reading/Writing,Bangalore,"[131, 150, 91]",28,Looking to improve my Legal Reasoning skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Strong', 'Quantitative Techniques': 'Weak'}"
77,['Logical Reasoning'],['NLIU Bhopal'],Beginner,Visual,Bangalore,"[107, 73, 120, 73, 82]",29,Looking to improve my Logical Reasoning skills,"{'English Comprehension': 'Weak', 'Quantitative Techniques': 'Strong', 'Legal Reasoning': 'Weak'}"
78,"['Quantitative Techniques', 'Quantitative Techniques']","['NLSIU Bangalore', 'NLSIU Bangalore']",Intermediate,Kinesthetic,Bangalore,"[117, 69, 70, 81, 65]",22,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Average'}"
79,['Legal Reasoning'],"['GNLU Gandhinagar', 'GNLU Gandhinagar']",Advanced,Reading/Writing,Mumbai,"[91, 90, 87, 100]",16,Looking to improve my General Knowledge skills,"{'Quantitative Techniques': 'Weak', 'Legal Reasoning': 'Average', 'Logical Reasoning': 'Average', 'English Comprehension': 'Average'}"
80,['General Knowledge'],['NALSAR Hyderabad'],Intermediate,Kinesthetic,Bangalore,"[64, 107, 90, 118, 130, 109]",15,Looking to improve my English Comprehension skills,"{'Legal Reasoning': 'Strong', 'English Comprehension': 'Weak'}"
81,"['General Knowledge', 'Quantitative Techniques']",['GNLU Gandhinagar'],Intermediate,Kinesthetic,Kolkata,"[149, 50, 80]",11,Looking to improve my Legal Reasoning skills,"{'English Comprehension': 'Weak', 'Logical Reasoning': 'Average', 'General Knowledge': 'Average'}"
82,"['Legal Reasoning', 'Logical Reasoning', 'Logical Reasoning']",['NUJS Kolkata'],Advanced,Visual,Kolkata,"[65, 120, 130, 56, 113, 57]",30,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Weak', 'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Strong'}"
83,['English Comprehension'],['NLIU Bhopal'],Intermediate,Kinesthetic,Kolkata,"[61, 135, 95, 98, 96, 62]",18,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Strong', 'Logical Reasoning': 'Average'}"
84,"['Quantitative Techniques', 'English Comprehension', 'General Knowledge']",['NLSIU Bangalore'],Advanced,Auditory,Mumbai,"[64, 145, 111, 129, 53, 138]",11,Looking to improve my General Knowledge skills,"{'Legal Reasoning': 'Strong', 'Logical Reasoning': 'Weak', 'English Comprehension': 'Average'}"
85,"['Quantitative Techniques', 'Quantitative Techniques', 'General Knowledge']",['NUJS Kolkata'],Beginner,Auditory,Chennai,"[131, 140, 93, 110]",10,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Average', 'Legal Reasoning': 'Strong'}"
86,['General Knowledge'],['NALSAR Hyderabad'],Beginner,Visual,Mumbai,"[112, 136, 129, 65]",26,Looking to improve my Legal Reasoning skills,"{'Logical Reasoning': 'Weak', 'Legal Reasoning': 'Weak', 'Quantitative Techniques': 'Weak', 'General Knowledge': 'Weak'}"
87,['Legal Reasoning'],"['GNLU Gandhinagar', 'GNLU Gandhinagar']",Beginner,Auditory,Mumbai,"[60, 109, 131, 97]",26,Looking to improve my English Comprehension skills,"{'English Comprehension': 'Average', 'General Knowledge': 'Strong'}"
88,"['Legal Reasoning', 'General Knowledge', 'General Knowledge']",['NLSIU Bangalore'],Advanced,Auditory,Chennai,"[99, 61, 144, 127]",25,Looking to improve my English Comprehension skills,"{'English Comprehension': 'Average', 'Quantitative Techniques': 'Average'}"
89,['Quantitative Techniques'],"['NLSIU Bangalore', 'NALSAR Hyderabad']",Advanced,Auditory,Chennai,"[150, 100, 146, 150, 50]",21,Looking to improve my English Comprehension skills,"{'Legal Reasoning': 'Strong', 'Logical Reasoning': 'Strong', 'English Comprehension': 'Weak', 'Quantitative Techniques': 'Average'}"
90,"['English Comprehension', 'English Comprehension']","['NLSIU Bangalore', 'NLIU Bhopal']",Intermediate,Visual,Mumbai,"[109, 56, 133, 95, 76]",23,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Weak', 'Quantitative Techniques': 'Strong'}"
91,"['Quantitative Techniques', 'General Knowledge']","['NALSAR Hyderabad', 'GNLU Gandhinagar']",Advanced,Auditory,Delhi,"[73, 119, 121]",11,Looking to improve my General Knowledge skills,"{'Logical Reasoning': 'Strong', 'Quantitative Techniques': 'Average'}"
92,['Legal Reasoning'],"['NUJS Kolkata', 'NALSAR Hyderabad']",Beginner,Kinesthetic,Bangalore,"[62, 82, 101, 90]",23,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Weak', 'Quantitative Techniques': 'Weak', 'English Comprehension': 'Weak'}"
93,['Logical Reasoning'],"['NALSAR Hyderabad', 'NALSAR Hyderabad']",Intermediate,Reading/Writing,Delhi,"[117, 137, 117, 53]",30,Looking to improve my Quantitative Techniques skills,"{'English Comprehension': 'Strong', 'Logical Reasoning': 'Average', 'Quantitative Techniques': 'Weak'}"
94,"['English Comprehension', 'Logical Reasoning', 'General Knowledge']","['NUJS Kolkata', 'NLSIU Bangalore']",Intermediate,Reading/Writing,Chennai,"[141, 122, 93, 129, 139]",11,Looking to improve my English Comprehension skills,"{'General Knowledge': 'Strong', 'English Comprehension': 'Weak'}"
95,['Legal Reasoning'],"['NUJS Kolkata', 'NLIU Bhopal']",Intermediate,Visual,Chennai,"[76, 130, 132, 58, 112]",14,Looking to improve my Logical Reasoning skills,"{'Logical Reasoning': 'Strong', 'Legal Reasoning': 'Strong', 'English Comprehension': 'Weak', 'General Knowledge': 'Average'}"
96,"['Quantitative Techniques', 'English Comprehension']",['GNLU Gandhinagar'],Advanced,Kinesthetic,Delhi,"[54, 140, 126, 141, 105]",20,Looking to improve my Legal Reasoning skills,"{'Legal Reasoning': 'Strong', 'Logical Reasoning': 'Weak'}"
97,['Logical Reasoning'],['NUJS Kolkata'],Advanced,Reading/Writing,Bangalore,"[144, 141, 66, 102, 51]",21,Looking to improve my Quantitative Techniques skills,"{'Quantitative Techniques': 'Weak', 'General Knowledge': 'Weak', 'Logical Reasoning': 'Average', 'English Comprehension': 'Strong'}"
98,['Quantitative Techniques'],['NLIU Bhopal'],Beginner,Visual,Mumbai,"[120, 105, 55, 142, 98, 139]",29,Looking to improve my Quantitative Techniques skills,"{'Legal Reasoning': 'Average', 'Logical Reasoning': 'Weak', 'General Knowledge': 'Average'}"
99,['English Comprehension'],['NLSIU Bangalore'],Beginner,Kinesthetic,Kolkata,"[137, 53, 68, 75, 105]",10,Looking to improve my General Knowledge skills,"{'General Knowledge': 'Average', 'Logical Reasoning': 'Average', 'Quantitative Techniques': 'Weak'}"
100,"['General Knowledge', 'Legal Reasoning']",['GNLU Gandhinagar'],Intermediate,Kinesthetic,Chennai,"[59, 114, 68, 71, 54, 60]",16,Looking to improve my English Comprehension skills,"{'English Comprehension': 'Weak', 'Logical Reasoning': 'Average', 'General Knowledge': 'Strong', 'Legal Reasoning': 'Weak'}"
